store,city,avg_category_price_index,price_volatility_score,median_price_deviation,ldi,weighted_ldi,leadership_frequency,wins
AlFatah,Faisalabad,1.0,9276.602407271392,1750.0,0.8147804934553458,1530.7369147907748,0.9997157475838545,7034
AlFatah,Lahore,1.0,9048.677024619848,1320.0,0.8410749449785706,1505.8817152327026,0.99889943596093,7261
Imtiaz,Islamabad,1.0,311.99469578415506,130.0,0.00428587976369744,0.036666206325093216,1.0,37
Imtiaz,Karachi,1.0,1084.694006242999,92.5,0.004633383528321557,0.03052064631956912,1.0,40
Metro,Karachi,1.0,250.6126830963861,111.0,0.004749218116529595,0.2831100676702113,0.8723404255319149,41
Metro,Lahore,1.0,191.36236039338186,111.0,0.006139233175026063,0.36597155089076094,1.0,53
