product_id,mean,median,std,min,max,iqr,cv,price_range,price_spread_ratio
00016268-c85a-48c6-a324-91796e478f84,9900.0,9900.0,0.0,9900.0,9900.0,0.0,0.0,0.0,1.0
000b6128-67e8-4077-a072-83f5878ca24c,46900.0,46900.0,0.0,46900.0,46900.0,0.0,0.0,0.0,1.0
0013e71c-9b69-49b1-8bf7-8e766543422c,8995.0,8995.0,0.0,8995.0,8995.0,0.0,0.0,0.0,1.0
001cdbb0-796b-4faf-9cc8-06e6aca46956,2575.0,2575.0,0.0,2575.0,2575.0,0.0,0.0,0.0,1.0
0020e5c0-5db9-4b0b-a740-6c1a21b9c2fe,995.0,995.0,0.0,995.0,995.0,0.0,0.0,0.0,1.0
002ae34a-c6ed-49e7-8182-fd160e840f4e,28900.0,28900.0,0.0,28900.0,28900.0,0.0,0.0,0.0,1.0
0030030c-27a6-4e8c-a520-1c1b7e0fc3d5,1895.0,1895.0,0.0,1895.0,1895.0,0.0,0.0,0.0,1.0
00354832-0e1c-43b0-9c0e-28e7dbd70de7,1535.0,1535.0,0.0,1535.0,1535.0,0.0,0.0,0.0,1.0
003cd2d2-5cb3-4ed1-b740-d7aee7bf5a7d,375.0,375.0,0.0,375.0,375.0,0.0,0.0,0.0,1.0
004146d4-d3c3-415e-9b63-99599e173279,695.0,695.0,0.0,695.0,695.0,0.0,0.0,0.0,1.0
00494abd-16d1-4261-a473-85b40c4ce825,945.0,945.0,0.0,945.0,945.0,0.0,0.0,0.0,1.0
0049f487-ceaa-400e-a644-eda11261ba00,6150.0,6150.0,0.0,6150.0,6150.0,0.0,0.0,0.0,1.0
004b4fcc-5c6e-407d-8d4b-383575e62853,3800.0,3800.0,0.0,3800.0,3800.0,0.0,0.0,0.0,1.0
004e04a5-bbc5-441f-91b2-14b563c02b01,745.0,745.0,0.0,745.0,745.0,0.0,0.0,0.0,1.0
006685db-07a0-4a57-b7f3-197faae83c92,4700.0,4700.0,0.0,4700.0,4700.0,0.0,0.0,0.0,1.0
006fe32a-4ffa-4e51-b0de-a42671abff47,2195.0,2195.0,0.0,2195.0,2195.0,0.0,0.0,0.0,1.0
007271aa-b9ba-48b6-995c-a49699b739d4,895.0,895.0,0.0,895.0,895.0,0.0,0.0,0.0,1.0
0078075f-a4f1-46fc-8276-2b23142c9bb5,995.0,995.0,0.0,995.0,995.0,0.0,0.0,0.0,1.0
0079f70d-053c-4058-9bb5-75e5944e8627,11900.0,11900.0,0.0,11900.0,11900.0,0.0,0.0,0.0,1.0
009565b9-e72e-4572-96a1-2a9f1e400805,1595.0,1595.0,0.0,1595.0,1595.0,0.0,0.0,0.0,1.0
00a439a9-1f10-4c23-b900-bca7b90b3b1f,575.0,575.0,0.0,575.0,575.0,0.0,0.0,0.0,1.0
00a5e687-7249-423c-9f46-178e0865b70d,9500.0,9500.0,0.0,9500.0,9500.0,0.0,0.0,0.0,1.0
00aa5bfe-23ac-440e-87e7-fbe973f55c7a,1895.0,1895.0,0.0,1895.0,1895.0,0.0,0.0,0.0,1.0
00b46c3c-18e0-4833-b531-d3e295a61bd3,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,1.0
00ba3828-cdc0-42b3-b40f-f2eec55059ff,6790.0,6790.0,0.0,6790.0,6790.0,0.0,0.0,0.0,1.0
00bba2bf-daab-4021-bb7c-e35952ac6bae,2720.0,2720.0,0.0,2720.0,2720.0,0.0,0.0,0.0,1.0
00bbd5b1-61c9-418c-9865-2d5e1a8597b7,599.0,599.0,0.0,599.0,599.0,0.0,0.0,0.0,1.0
00beaf20-e9cf-4c7d-a67c-526b0158223b,3995.0,3995.0,0.0,3995.0,3995.0,0.0,0.0,0.0,1.0
00c01476-16ef-4fbc-ad32-4ffdcc469b06,1995.0,1995.0,0.0,1995.0,1995.0,0.0,0.0,0.0,1.0
00c0fb85-7172-4426-a6bc-3c96da18138a,4050.0,4050.0,0.0,4050.0,4050.0,0.0,0.0,0.0,1.0
00c70d7b-18c2-44f5-baf8-c55a92a3c9b7,2295.0,2295.0,0.0,2295.0,2295.0,0.0,0.0,0.0,1.0
00d04298-4d04-4998-8134-597befa009e2,5495.0,5495.0,0.0,5495.0,5495.0,0.0,0.0,0.0,1.0
00d1624f-6572-444b-afcf-f9e2d4a98aa3,6900.0,6900.0,0.0,6900.0,6900.0,0.0,0.0,0.0,1.0
00d1bc26-a494-496c-877f-0dc8ec331119,445.0,445.0,0.0,445.0,445.0,0.0,0.0,0.0,1.0
00d82cc4-d021-49a0-bd52-60035d612f48,33900.0,33900.0,0.0,33900.0,33900.0,0.0,0.0,0.0,1.0
00dfc22d-0076-4531-9b78-1c2a605890d8,895.0,895.0,0.0,895.0,895.0,0.0,0.0,0.0,1.0
00ee520e-fe51-4ea2-8173-ad048584d7ce,7200.0,7200.0,0.0,7200.0,7200.0,0.0,0.0,0.0,1.0
00f49797-b97b-49b7-8a2c-ab9986160b34,5500.0,5500.0,0.0,5500.0,5500.0,0.0,0.0,0.0,1.0
00f61584-1a03-42d6-ad05-77508a6c36d8,2850.0,2850.0,0.0,2850.0,2850.0,0.0,0.0,0.0,1.0
00f968fa-6aa5-4719-bed8-a40541d5754a,6995.0,6995.0,0.0,6995.0,6995.0,0.0,0.0,0.0,1.0
00fcc1b3-264f-4cb7-ac45-ff2d2c148f38,4995.0,4995.0,0.0,4995.0,4995.0,0.0,0.0,0.0,1.0
00fdb420-645d-4f1b-bc87-3a4f57bfb028,800.0,800.0,0.0,800.0,800.0,0.0,0.0,0.0,1.0
01023cad-5b84-457d-b9b2-da022313aeaf,795.0,795.0,0.0,795.0,795.0,0.0,0.0,0.0,1.0
0104e318-8b57-4acb-899f-a03628a0333a,3695.0,3695.0,0.0,3695.0,3695.0,0.0,0.0,0.0,1.0
010b7304-b4c0-4f1c-b2b6-a53ecafa1f81,169.0,169.0,0.0,169.0,169.0,0.0,0.0,0.0,1.0
010cf237-abe9-4fc1-8901-1084bda175a3,650.0,650.0,0.0,650.0,650.0,0.0,0.0,0.0,1.0
010db33d-8079-43d5-9e48-398e534712f3,595.0,595.0,0.0,595.0,595.0,0.0,0.0,0.0,1.0
010de69f-be0e-4a5a-9a3b-96b8f9b1284c,9900.0,9900.0,0.0,9900.0,9900.0,0.0,0.0,0.0,1.0
0120a661-7483-48ff-9bdb-628035b55381,3160.0,3160.0,0.0,3160.0,3160.0,0.0,0.0,0.0,1.0
0120ebd0-0614-4300-837d-1046c275091a,845.0,845.0,0.0,845.0,845.0,0.0,0.0,0.0,1.0
013dc5d0-f1e5-4854-b57d-63c16693eea9,895.0,895.0,0.0,895.0,895.0,0.0,0.0,0.0,1.0
013e191d-87c5-4c04-a7b3-c02fad3b8c8e,1495.0,1495.0,0.0,1495.0,1495.0,0.0,0.0,0.0,1.0
0146f900-6aa1-491b-ac7f-1d8236a8985d,1295.0,1295.0,0.0,1295.0,1295.0,0.0,0.0,0.0,1.0
01508f4f-8f6e-4861-b68a-d37f91ee4c06,5495.0,5495.0,0.0,5495.0,5495.0,0.0,0.0,0.0,1.0
0156b4b9-df82-4d77-aa44-5f9ea131a7be,2295.0,2295.0,0.0,2295.0,2295.0,0.0,0.0,0.0,1.0
0157076d-3e42-424f-8a5f-d3ab8da96604,12900.0,12900.0,0.0,12900.0,12900.0,0.0,0.0,0.0,1.0
015edaac-148f-476e-9b6b-a89e7a71fb19,3799.0,3799.0,0.0,3799.0,3799.0,0.0,0.0,0.0,1.0
01602d37-deb7-442a-9bba-ce0995ea2e19,12900.0,12900.0,0.0,12900.0,12900.0,0.0,0.0,0.0,1.0
016490d7-78d2-42c2-af10-f4a051c8e713,1330.02,1330.02,0.0,1330.02,1330.02,0.0,0.0,0.0,1.0
016ad5bb-0713-4d33-b37e-67908861f612,14900.0,14900.0,0.0,14900.0,14900.0,0.0,0.0,0.0,1.0
01700e6f-7551-4388-b67a-66c8f617d1a2,299.0,299.0,0.0,299.0,299.0,0.0,0.0,0.0,1.0
01805dba-d7ca-4e6b-9d99-ebe2fee3b4ee,8400.0,8400.0,0.0,8400.0,8400.0,0.0,0.0,0.0,1.0
01954da6-b108-411b-8c26-0fd04294de27,2150.0,2150.0,0.0,2150.0,2150.0,0.0,0.0,0.0,1.0
01956d98-6427-4888-aefc-79b61b01ba1e,1450.0,1450.0,0.0,1450.0,1450.0,0.0,0.0,0.0,1.0
01981acc-c64c-40af-8c7a-f5f491bf7295,12900.0,12900.0,0.0,12900.0,12900.0,0.0,0.0,0.0,1.0
01982d49-e945-4a02-801c-4b0f1610b278,1300.0,1300.0,0.0,1300.0,1300.0,0.0,0.0,0.0,1.0
0198e2d2-24cb-4fea-8c62-9d3be0def7f0,1595.0,1595.0,0.0,1595.0,1595.0,0.0,0.0,0.0,1.0
01abb26f-6a87-496e-a40a-ce09c0ddfde9,4295.0,4295.0,0.0,4295.0,4295.0,0.0,0.0,0.0,1.0
01b25b7f-1ca5-4b85-aeaf-6ef160981d8f,1745.0,1745.0,0.0,1745.0,1745.0,0.0,0.0,0.0,1.0
01b598f7-4d94-47c7-a9fc-bb29147f3e6d,56900.0,56900.0,0.0,56900.0,56900.0,0.0,0.0,0.0,1.0
01c49f71-7860-4853-8982-b719ae3581ec,15900.0,15900.0,0.0,15900.0,15900.0,0.0,0.0,0.0,1.0
01c5cf06-5d78-4aaa-bb5a-e7ad6c68d9a0,295.0,295.0,0.0,295.0,295.0,0.0,0.0,0.0,1.0
01cb566c-9392-443c-84d9-4196d8d686a5,499.0,499.0,0.0,499.0,499.0,0.0,0.0,0.0,1.0
01d5eba6-fd71-48a8-914f-2128b253c612,21500.0,21500.0,0.0,21500.0,21500.0,0.0,0.0,0.0,1.0
01d7b3b8-afa7-48e9-a432-0486a6d3c345,4995.0,4995.0,0.0,4995.0,4995.0,0.0,0.0,0.0,1.0
01d922bc-4a4d-43ff-b959-5d9f9cfa236a,375.0,375.0,0.0,375.0,375.0,0.0,0.0,0.0,1.0
01dc13eb-5ed4-4c15-84db-ddd7abf3800c,13900.0,13900.0,0.0,13900.0,13900.0,0.0,0.0,0.0,1.0
01ec426c-dc84-405d-9cdf-ec805aeb3120,7995.0,7995.0,0.0,7995.0,7995.0,0.0,0.0,0.0,1.0
01fe5787-03e2-460f-a8f8-d96c04fecdae,2999.0,2999.0,0.0,2999.0,2999.0,0.0,0.0,0.0,1.0
020737cb-f0b4-40f0-bc5a-0f1d842ce663,2995.0,2995.0,0.0,2995.0,2995.0,0.0,0.0,0.0,1.0
02112676-55e9-47fb-8cb4-9379bcae73d9,595.0,595.0,0.0,595.0,595.0,0.0,0.0,0.0,1.0
021295fa-3f3f-4cdd-b003-9453e5f9e400,1195.0,1195.0,0.0,1195.0,1195.0,0.0,0.0,0.0,1.0
021a8a90-5f25-46a2-9266-1166cae36dbe,2395.0,2395.0,0.0,2395.0,2395.0,0.0,0.0,0.0,1.0
021d7ac9-9ccf-4347-9ff1-631ab31e3579,8900.0,8900.0,0.0,8900.0,8900.0,0.0,0.0,0.0,1.0
021e55bc-ad5f-4eb3-80e3-1f39234fbe7b,8495.0,8495.0,0.0,8495.0,8495.0,0.0,0.0,0.0,1.0
0226c7a8-c3ce-4358-8643-3be4d6959122,4500.0,4500.0,0.0,4500.0,4500.0,0.0,0.0,0.0,1.0
02273f42-13f7-4e21-8b2c-9720354eb78f,15900.0,15900.0,0.0,15900.0,15900.0,0.0,0.0,0.0,1.0
022cfaa0-0957-4421-90a3-fdbdc04f2771,1290.0,1290.0,0.0,1290.0,1290.0,0.0,0.0,0.0,1.0
